Protein	Gene	Description	Group	Peptides	Collapsed	ChrI-TEF1-SRPrec-32	ChrI-ADH1-SRP-3	ChrI-CYC1-SRP-6	ChrI-TEF1-SRP-15	ChrI-SRPrec-2cAlpha	HO-SRPrec-1aAlpha	ChrI-ADH1-SRP-1aAlpha	ChrI-TEF1-SRP-1aAlpha	WT MATa	Bridge
sp|P13663|DHAS_YEAST	HOM2	Aspartate-semialdehyde dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HOM2 PE=1 SV=1	1061	20	C	2618.695114	2802.883688	2828.012556	2774.342008	2768.603859	2955.684979	2803.495623	2782.809216	1663.180044	2726.943369
sp|Q12032|AIM41_YEAST	AIM41	"Altered inheritance of mitochondria protein 41, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM41 PE=1 SV=1"	1062	2	C	136.6127005	102.4549751	98.93830648	108.7414775	130.2186892	104.4056381	138.3140151	128.8479314	123.0326891	128.3208908
sp|P47037|SMC3_YEAST	SMC3	Structural maintenance of chromosomes protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SMC3 PE=1 SV=1	1063	3	C	104.5379106	106.2194518	96.75840099	109.0272979	107.9080589	108.868456	90.27968174	100.35093	118.8416222	108.258752
sp|Q12377|RPN6_YEAST	RPN6	26S proteasome regulatory subunit RPN6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN6 PE=1 SV=3	1064	10	C	1245.326543	1164.604041	1166.993022	1176.00069	1255.630861	1162.165568	1134.510545	1217.708039	1399.759666	1254.898158
sp|P0CX35|RS4A_YEAST	RPS4A	40S ribosomal protein S4-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS4A PE=1 SV=1	1065	14	C	1803.473031	2132.115961	2183.798541	2000.271132	1907.131059	2059.27023	2043.658387	2094.065707	3120.752417	2177.576399
sp|Q00245|RHO3_YEAST	RHO3	GTP-binding protein RHO3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RHO3 PE=1 SV=2	1066	6	C	651.992728	636.8773369	640.7012662	639.8513943	579.0335308	644.2531788	626.6425256	609.56882	523.1852272	556.935781
sp|P06781|RHO2_YEAST	RHO2	GTP-binding protein RHO2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RHO2 PE=1 SV=2	1066	1	C	34.76854113	30.17702283	31.92807961	28.34172351	43.56517365	29.333297	31.69534196	38.03124141	26.38119622	33.97773504
sp|P52286|SKP1_YEAST	SKP1	Suppressor of kinetochore protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SKP1 PE=1 SV=2	1067	2	C	136.1815488	123.5631141	120.334146	139.8933654	129.14447	140.9113652	138.7437983	127.7607136	148.1134537	125.254683
sp|P38962|TVP23_YEAST	TVP23	Golgi apparatus membrane protein TVP23 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TVP23 PE=1 SV=1	1068	1	C	68.4078436	60.28445283	63.17152358	50.18382141	61.13336152	56.41716489	60.75376838	69.97166008	48.99229689	57.4723389
sp|P40029|MSRA_YEAST	MXR1	Peptide methionine sulfoxide reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MXR1 PE=1 SV=1	1069	3	C	274.2926965	238.7841801	261.8728818	290.817304	270.0210599	284.0531096	278.1098056	294.0341679	198.3853723	264.7168872
sp|P40217|EIF3I_YEAST	TIF34	Eukaryotic translation initiation factor 3 subunit I OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF34 PE=1 SV=1	1070	9	C	652.3782021	667.8345265	667.2100059	702.2170001	634.7704113	649.22365	697.8898426	675.9792109	880.6163309	707.6938416
sp|P12612|TCPA_YEAST	TCP1	T-complex protein 1 subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TCP1 PE=1 SV=2	1071	8	C	477.9010238	523.6612309	594.4440759	582.375879	524.9961906	545.2587332	600.9151147	525.8182052	932.6186776	628.4976954
sp|P53136|NSA1_YEAST	NSA1	Ribosome biogenesis protein NSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NSA1 PE=1 SV=1	1072	2	C	47.4231221	49.32757326	59.15438068	60.26108553	64.35151041	60.018002	57.0758006	57.32485352	98.09811583	72.84860298
sp|P25618|CWH43_YEAST	CWH43	Protein CWH43 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CWH43 PE=1 SV=2	1073	1	C	40.73692846	35.88333112	41.31792596	47.27999257	49.83141941	49.48589585	36.8343774	45.9153129	48.01236742	48.74616183
sp|P38145|RISA_YEAST	RIB5	Riboflavin synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIB5 PE=1 SV=1	1074	2	C	227.6625816	192.5711128	177.6039522	179.5795243	223.7688681	199.6982308	187.4060059	195.6379475	152.6088373	192.733061
sp|P32597|STH1_YEAST	STH1	Nuclear protein STH1/NPS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STH1 PE=1 SV=1	1075	7	C	577.1483576	612.8703388	610.0152584	633.8741062	568.2795777	605.2153637	597.7767203	662.0976612	620.4345383	644.5322366
sp|P40064|NU157_YEAST	NUP157	Nucleoporin NUP157 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP157 PE=1 SV=1	1076	2	C	163.5836348	176.4324468	179.2772614	168.0179942	168.3907142	171.5466435	175.336911	188.6449142	189.5490011	197.6509397
sp|P01120|RAS2_YEAST	RAS2	Ras-like protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAS2 PE=1 SV=4	1077	9	C	1129.584036	1154.321676	1154.87354	1156.049581	1118.707123	1143.774721	1064.592626	1119.839209	700.8069546	1031.787454
sp|P01119|RAS1_YEAST	RAS1	Ras-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAS1 PE=1 SV=2	1077	4	C	214.8383252	226.0160691	226.6513255	254.6777536	221.5028146	269.2003902	228.9191599	213.0262253	238.88261	212.878634
sp|P33775|PMT1_YEAST	PMT1	Dolichyl-phosphate-mannose--protein mannosyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMT1 PE=1 SV=1	1078	17	C	1704.642366	1832.85673	1725.019606	1707.923017	1679.378955	1709.483746	1693.375277	1813.479403	1890.253975	1748.601225
sp|P07267|CARP_YEAST	PEP4	Saccharopepsin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP4 PE=1 SV=1	1079	13	C	1839.112677	1651.056849	1537.95325	1677.191872	1653.199764	1677.881558	1508.148467	1795.146868	998.4420725	1555.18552
sp|P38131|KTR4_YEAST	KTR4	Probable mannosyltransferase KTR4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KTR4 PE=1 SV=1	1080	3	C	188.7475197	183.4826339	202.9567875	201.7176709	183.3866568	167.416426	163.9535158	196.7311721	190.6924262	198.8057452
sp|P10080|SSBP1_YEAST	SBP1	Single-stranded nucleic acid-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SBP1 PE=1 SV=2	1082	11	C	1295.861533	1255.074708	1161.168465	1269.37786	1153.795668	1134.79554	1268.847112	1314.608584	965.1238736	1142.39469
sp|P40302|PSA6_YEAST	PRE5	Proteasome subunit alpha type-6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE5 PE=1 SV=1	1083	7	C	532.1748902	523.64507	488.9665534	517.9151769	508.0997817	523.7303219	506.9947782	490.3556812	584.1708823	512.1752152
sp|Q05948|YL225_YEAST	YLR225C	Uncharacterized SVF1-like protein YLR225C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR225C PE=1 SV=1	1084	3	C	122.5473511	107.5567653	119.5255133	126.4792322	122.5315533	125.5798248	111.090177	117.2544648	105.9551543	90.72561835
sp|P39517|DHH1_YEAST	DHH1	ATP-dependent RNA helicase DHH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DHH1 PE=1 SV=1	1085	10	C	1908.030104	1946.528371	2028.146764	2059.434906	1924.73414	1968.706124	1870.875756	2072.453498	1996.727511	2027.982626
sp|P32799|COX13_YEAST	COX13	"Cytochrome c oxidase subunit 6A, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX13 PE=1 SV=1"	1086	4	C	282.3675997	281.1347953	272.893504	264.205098	287.1752421	269.9253149	248.9050575	279.9027383	219.9224888	268.9843582
sp|P53011|SEH1_YEAST	SEH1	Nucleoporin SEH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEH1 PE=1 SV=1	1087	1	C	84.91705447	75.62729621	70.30640571	88.40260839	77.52970958	80.4941397	75.82323865	94.50998715	241.3067011	106.1890143
sp|P00830|ATPB_YEAST	ATP2	"ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP2 PE=1 SV=2"	1088	20	C	1745.640771	1736.457038	1789.319912	1729.89682	1598.51848	1497.958121	1562.008122	1528.171811	1746.755244	1634.609214
sp|P07281|RS19B_YEAST	RPS19B	40S ribosomal protein S19-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS19B PE=1 SV=2	1089	9	C	961.3936507	1118.989937	1061.550527	930.7813255	869.8058389	943.937478	988.9800788	953.3350963	1631.420722	1045.373959
sp|P54885|PROA_YEAST	PRO2	Gamma-glutamyl phosphate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRO2 PE=1 SV=1	1090	12	C	1462.450975	1541.415329	1777.71083	1666.090045	1363.631051	1522.76414	1674.699241	1475.468774	1968.779607	1605.909737
sp|P38996|NAB3_YEAST	NAB3	Nuclear polyadenylated RNA-binding protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAB3 PE=1 SV=1	1091	4	C	519.0620852	498.6542779	472.0493178	493.7313519	484.6825882	445.9069738	483.9740249	515.4013365	535.4473985	488.3594844
sp|P33753|TRM2_YEAST	TRM2	tRNA (uracil(54)-C(5))-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRM2 PE=1 SV=2	1094	2	C	225.8232238	241.8749498	242.406652	239.4753758	232.1783575	237.6064401	213.7771149	242.7931694	231.0986673	233.741931
sp|Q06106|MRD1_YEAST	MRD1	Multiple RNA-binding domain-containing protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRD1 PE=1 SV=1	1095	2	C	164.1896981	180.8413388	159.6479039	163.7048309	168.3407277	156.1605278	150.6585619	168.6365014	221.5925011	183.7439713
sp|Q12125|GET4_YEAST	GET4	Golgi to ER traffic protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GET4 PE=1 SV=1	1096	3	C	394.2018894	387.1744573	423.3081841	404.3099268	426.5581184	394.4270201	394.2206323	412.233371	502.7191861	426.4190531
sp|P38793|TRM5_YEAST	TRM5	tRNA (guanine(37)-N1)-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRM5 PE=1 SV=1	1097	4	C	326.2425772	359.3635904	356.1546451	364.2835877	384.9497683	350.9727246	332.5428299	359.4450391	453.5854714	365.0569727
sp|P19454|CSK22_YEAST	CKA2	Casein kinase II subunit alpha' OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CKA2 PE=1 SV=2	1098	8	C	888.4688525	985.3252579	931.6719133	960.2184063	988.2326205	935.6502702	883.121536	1020.740201	763.5290048	938.2927673
sp|P20606|SAR1_YEAST	SAR1	Small COPII coat GTPase SAR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAR1 PE=1 SV=1	1099	6	C	1806.091136	1906.772589	1898.155062	1827.687138	1796.376711	1902.618525	1826.735063	1957.316525	1682.878581	1854.458399
sp|P53271|COG2_YEAST	COG2	Conserved oligomeric Golgi complex subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COG2 PE=1 SV=2	1100	1	C	60.74660095	59.16500837	53.98974002	90.22774418	69.7696523	69.43666906	59.25265273	64.75217337	71.59638635	69.34692542
sp|P50276|MUP1_YEAST	MUP1	High-affinity methionine permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MUP1 PE=1 SV=1	1101	1	C	56.8351526	69.67887762	64.79449335	79.97556307	65.78925866	74.38901713	81.74360049	71.7693538	62.83601971	69.58357523
sp|P04801|SYTC_YEAST	THS1	"Threonine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THS1 PE=1 SV=2"	1102	28	C	2973.153061	3153.34263	3094.891354	3319.871543	3102.729143	3334.128644	3335.166797	3088.5517	3669.947022	3271.607682
sp|P14904|AMPL_YEAST	APE1	Vacuolar aminopeptidase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APE1 PE=1 SV=2	1103	12	C	1310.255538	1072.204168	1056.076244	1028.319956	1285.083676	1012.169989	921.3429411	1045.134727	518.6182397	986.495943
sp|P81449|ATPJ_YEAST	TIM11	"ATP synthase subunit e, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIM11 PE=1 SV=2"	1104	3	C	205.8053071	222.4212817	198.1139987	214.1687264	226.9297776	224.5238139	209.6131014	204.9195445	265.9951359	230.5922889
sp|Q02776|TIM50_YEAST	TIM50	Mitochondrial import inner membrane translocase subunit TIM50 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIM50 PE=1 SV=1	1105	4	C	352.4871267	411.2026665	374.8802955	379.1434867	408.7933171	387.5453837	435.2639551	436.2626879	526.4126247	415.1943054
sp|P19881|PNPP_YEAST	PHO13	4-nitrophenylphosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO13 PE=1 SV=2	1106	7	C	768.7334572	750.8923967	736.4231563	766.3570594	754.3086568	779.903691	709.352357	709.6445217	514.4204599	732.3543439
sp|P36101|TCD2_YEAST	TCD2	tRNA threonylcarbamoyladenosine dehydratase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TCD2 PE=1 SV=1	1107	4	C	274.6837411	257.779283	233.6848283	257.4359715	277.2710591	271.3329458	232.6065048	285.7136475	231.0501854	252.2169232
sp|P42935|ELP2_YEAST	ELP2	Elongator complex protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ELP2 PE=1 SV=1	1108	6	C	284.1579376	277.4390024	271.5304376	314.894248	306.6033189	292.2177804	265.9821039	288.8443545	349.8358671	304.435371
sp|P39015|STM1_YEAST	STM1	Suppressor protein STM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STM1 PE=1 SV=3	1109	7	C	888.0198754	1121.706986	968.256536	1068.195743	904.6042669	943.176513	1158.216998	1044.930499	1408.531146	1079.828502
sp|Q12285|MDY2_YEAST	MDY2	Ubiquitin-like protein MDY2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDY2 PE=1 SV=1	1110	4	C	592.1272585	615.6833432	586.5468974	625.4511982	600.7296215	588.4195577	589.1761715	612.7595942	749.6259104	635.960318
sp|P38130|KTR3_YEAST	KTR3	Probable mannosyltransferase KTR3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KTR3 PE=1 SV=1	1111	4	C	204.089613	227.5170115	218.0175707	206.3836563	224.5510094	216.6145143	223.4784948	222.9193073	237.2543667	218.2999624
sp|P20447|DBP3_YEAST	DBP3	ATP-dependent RNA helicase DBP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DBP3 PE=1 SV=2	1112	11	C	1267.775398	1281.659368	1272.275392	1344.895568	1256.434565	1319.260054	1337.163112	1354.505275	1809.460885	1383.301535
sp|Q08162|RRP44_YEAST	DIS3	Exosome complex exonuclease DIS3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DIS3 PE=1 SV=1	1113	8	C	1009.48879	1089.344809	1022.860256	1085.654113	1103.63277	1023.147863	1008.877089	1117.709223	1278.81617	1108.082364
sp|P39012|GAA1_YEAST	GAA1	GPI transamidase component GAA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAA1 PE=1 SV=1	1114	1	C	88.62261952	81.13836079	86.7969074	87.42815298	84.0295196	90.78456994	83.114316	81.28028765	75.95684129	83.12703589
sp|P25340|ERG4_YEAST	ERG4	Delta(24(24(1)))-sterol reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG4 PE=1 SV=2	1115	4	C	417.1108621	453.8027654	440.781855	409.5654812	435.6772198	452.1337066	455.4432551	454.2119941	379.1972035	424.6214248
sp|P28625|YIM1_YEAST	YIM1	Protein YIM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YIM1 PE=1 SV=2	1116	2	C	143.7773946	129.7396032	118.157443	152.4455555	142.4996801	134.1018093	114.9738547	148.5451957	97.22991831	139.566497
sp|P49687|NU145_YEAST	NUP145	Nucleoporin NUP145 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP145 PE=1 SV=1	1117	3	C	303.7346759	294.3907631	327.5172401	330.9689122	323.8006267	300.7644783	319.6376113	372.7054931	371.3804423	358.0703044
sp|P43558|OTU1_YEAST	OTU1	Ubiquitin thioesterase OTU1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OTU1 PE=1 SV=1	1118	1	C	69.6194133	70.45934747	111.8775298	112.4656463	71.52496169	80.86710524	135.3612088	75.92733143	126.245915	89.60048886
sp|P47117|ARP3_YEAST	ARP3	Actin-related protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARP3 PE=1 SV=1	1119	9	C	1074.417785	1065.073176	1090.753374	1047.8309	1172.839535	1044.076975	1020.324952	1066.211137	1102.663069	1090.7508
sp|P38861|NMD3_YEAST	NMD3	60S ribosomal export protein NMD3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NMD3 PE=1 SV=3	1120	7	C	563.8038225	574.206426	587.5036459	608.0813208	556.2642012	568.7642119	549.9770095	660.7257244	870.8826731	650.9272804
sp|Q08096|RCL1_YEAST	RCL1	RNA 3'-terminal phosphate cyclase-like protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RCL1 PE=1 SV=1	1121	4	C	190.3083557	187.3430658	201.4676225	224.3603416	197.7455169	215.535365	200.677517	220.7472742	281.6689355	213.6390232
sp|P34760|TSA1_YEAST	TSA1	Peroxiredoxin TSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TSA1 PE=1 SV=3	1122	10	C	1747.557	1974.405902	1864.899043	1794.657478	1694.708141	2138.589765	2344.496888	1970.39918	2363.287369	1845.65988
sp|P46673|NUP85_YEAST	NUP85	Nucleoporin NUP85 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP85 PE=1 SV=1	1123	2	C	192.6078315	194.4407255	199.8073235	215.8972096	213.6451366	206.447033	192.5555906	218.0862935	237.697416	198.6986081
sp|P14540|ALF_YEAST	FBA1	Fructose-bisphosphate aldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FBA1 PE=1 SV=3	1124	31	C	2555.091882	2670.86944	2477.668456	2725.234236	2765.869304	2925.833319	2978.095065	2753.592489	2452.038936	2869.132355
sp|P29704|FDFT_YEAST	ERG9	Squalene synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG9 PE=1 SV=2	1125	7	C	1090.983146	1047.730524	1018.847117	1077.927655	1090.734299	1063.17833	1061.750196	1103.854103	929.0906928	1041.249654
sp|P31380|FUN30_YEAST	FUN30	ATP-dependent helicase FUN30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FUN30 PE=1 SV=1	1126	1	C	32.05585049	28.70254387	29.08085202	37.86539031	40.56608313	30.97457192	31.14990796	37.6221832	37.2395577	34.12127984
sp|Q12250|RPN5_YEAST	RPN5	26S proteasome regulatory subunit RPN5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN5 PE=1 SV=3	1128	11	C	1109.977217	1058.366408	1024.591611	1032.13664	1081.677926	1030.968606	1053.457333	1034.087152	1355.782925	1137.720477
sp|P53296|ATF2_YEAST	ATF2	Alcohol O-acetyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATF2 PE=1 SV=1	1129	1	C	39.29752795	44.8622191	39.94755382	48.68312101	162.167888	54.97555319	42.99512482	48.09227147	34.48951966	104.22831
sp|P33317|DUT_YEAST	DUT1	Deoxyuridine 5'-triphosphate nucleotidohydrolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DUT1 PE=1 SV=2	1130	3	C	272.6895252	278.4935003	250.0966684	263.8959478	236.1772756	255.6883697	283.5299583	260.8866371	280.8238601	295.8615562
sp|Q04792|DCE_YEAST	GAD1	Glutamate decarboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAD1 PE=1 SV=1	1131	4	C	363.1767922	369.6934275	375.3396549	338.4390857	464.0636571	325.8742649	250.9455511	398.6137147	328.3509618	379.5735798
sp|P40024|ARB1_YEAST	ARB1	ABC transporter ATP-binding protein ARB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARB1 PE=1 SV=1	1133	18	C	1576.366379	1745.628341	1692.824417	1790.761495	1625.932631	1788.185448	1766.946354	1705.958962	2330.908972	1847.603519
sp|P0CX38|RS6B_YEAST	RPS6B	40S ribosomal protein S6-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS6B PE=1 SV=1	1134	6	C	717.7149532	730.1791895	679.2434205	706.5232678	618.6306605	654.706923	677.2133615	647.974641	855.383408	688.0232748
sp|Q06103|RPN7_YEAST	RPN7	26S proteasome regulatory subunit RPN7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN7 PE=1 SV=3	1135	8	C	690.0666541	634.3279569	648.0460125	661.4298525	718.5408833	625.4689783	639.7606823	677.1553283	902.813546	697.1460489
sp|P42846|KRI1_YEAST	KRI1	Protein KRI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRI1 PE=1 SV=1	1136	4	C	409.6431364	436.4207211	406.7252101	423.9461399	403.9622713	426.6357146	484.7202849	466.7131976	689.9097331	451.826671
sp|P40414|TPM2_YEAST	TPM2	Tropomyosin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPM2 PE=1 SV=1	1137	6	C	376.2506042	323.8914528	272.9545518	304.9566186	309.8651815	296.7156089	319.4871872	313.5740559	572.3883082	339.8977612
sp|P02557|TBB_YEAST	TUB2	Tubulin beta chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUB2 PE=1 SV=2	1138	15	C	1246.897406	1226.399234	1314.908747	1276.916989	1286.083406	1238.622474	1328.977694	1323.366394	1506.814985	1298.89075
sp|P53847|DSL1_YEAST	DSL1	Protein transport protein DSL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DSL1 PE=1 SV=1	1139	1	C	94.73427844	87.28040701	87.51536951	94.37529946	85.92920169	93.02143644	93.10550656	85.10513212	115.0794329	83.7333562
sp|P47096|3HAO_YEAST	BNA1	"3-hydroxyanthranilate 3,4-dioxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BNA1 PE=1 SV=1"	1140	7	C	1055.503929	895.7727312	790.1161641	895.4991212	982.4106663	867.795667	1148.39059	1045.144338	350.434804	848.6692392
sp|P53905|LSM7_YEAST	LSM7	U6 snRNA-associated Sm-like protein LSm7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSM7 PE=1 SV=2	1141	2	C	438.2929998	484.7114724	510.1080939	452.2822321	467.0001175	470.5925147	539.2236374	527.5613578	679.6815607	510.5387666
sp|P33334|PRP8_YEAST	PRP8	Pre-mRNA-splicing factor 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRP8 PE=1 SV=1	1142	1	C	39.41116483	41.05713819	41.45763526	37.37155437	42.12468104	41.06832514	35.72329004	43.60548551	48.34920419	43.56783559
sp|P25040|TSR4_YEAST	TSR4	20S rRNA accumulation protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TSR4 PE=1 SV=2	1143	1	C	103.2794378	104.0296516	90.64381711	84.69544857	86.703502	80.12930897	98.9165667	104.5677736	145.9325177	97.91575236
sp|Q05123|ARP9_YEAST	ARP9	Actin-like protein ARP9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARP9 PE=1 SV=1	1144	8	C	539.9734998	578.6031974	547.3852585	581.8874446	539.2246938	564.4558524	525.660069	624.5652185	584.107483	574.5517799
sp|Q07914|TIM14_YEAST	PAM18	Mitochondrial import inner membrane translocase subunit TIM14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAM18 PE=1 SV=1	1146	1	C	141.5859853	164.4259176	158.2968469	149.8183529	154.2896274	141.2480845	160.1274682	158.0646591	198.8097747	154.1343024
sp|P22855|MAN1_YEAST	AMS1	Alpha-mannosidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AMS1 PE=1 SV=2	1147	1	C	30.68819719	24.29213673	33.20637972	26.3776425	30.69806678	34.02471336	22.95032744	33.79553671	28.49918049	22.14552931
sp|P36135|UTH1_YEAST	UTH1	Probable secreted beta-glucosidase UTH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTH1 PE=1 SV=2	1148	4	C	202.4675022	212.1146759	191.3036705	209.5648009	209.0973475	195.3219095	194.5902235	214.57476	249.6806303	222.9210808
sp|P25491|MAS5_YEAST	YDJ1	Mitochondrial protein import protein MAS5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDJ1 PE=1 SV=1	1149	11	C	1519.391965	1379.978166	1285.675876	1374.45447	1424.29111	1295.710297	1298.74635	1388.275103	1824.057643	1442.74842
sp|P33327|DHE2_YEAST	GDH2	NAD-specific glutamate dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GDH2 PE=1 SV=1	1150	12	C	1080.714606	871.7122001	851.2189692	746.9438023	1069.43614	1229.056351	1596.781493	1381.787836	1882.817609	1180.869245
sp|P11972|SST2_YEAST	SST2	Protein SST2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SST2 PE=1 SV=2	1151	1	C	71.20475922	111.4363883	111.0749018	117.600069	106.395723	100.8965493	124.251312	115.3481694	106.4750286	123.3802572
sp|Q04660|ERB1_YEAST	ERB1	Ribosome biogenesis protein ERB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERB1 PE=1 SV=1	1152	6	C	678.2729282	717.0282674	658.9335306	712.3741376	674.2861903	679.8651066	700.4226334	694.4919483	927.8301655	722.2597507
sp|P47123|MOG1_YEAST	MOG1	Nuclear import protein MOG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MOG1 PE=1 SV=1	1153	2	C	121.3831301	100.2722453	103.7942056	119.2251191	127.3371159	112.2984621	114.0644724	129.8991089	56.74364496	102.2818275
